"#""pop2023""",pop2020,growth,name,aland_sqmi,intptlat,intptlong,slug,usps,lng,lat,rank,density
2366119,2304580,0.00875,Houston,640.194,29.7857,-95.3888,houston-tx,TX,-95.3888,29.7857,1,3696
1466791,1434625,0.00736,San Antonio,485.113,29.4659,-98.5247,san-antonio-tx,TX,-98.5247,29.4659,2,3024
1336347,1304379,0.00804,Dallas,339.736,32.7933,-96.7665,dallas-tx,TX,-96.7665,32.7933,3,3933
1013293,961855,0.01721,Austin,319.939,30.3012,-97.7527,austin-tx,TX,-97.7527,30.3012,4,3167
972228,918915,0.01862,Fort Worth,345.584,32.7815,-97.3467,fort-worth-tx,TX,-97.3467,32.7815,5,2813
687722,678815,0.00434,El Paso,257.42,31.8478,-106.431,el-paso-tx,TX,-106.431,31.8478,6,2672
402915,394266,0.00721,Arlington,95.779,32.7007,-97.1247,arlington-tx,TX,-97.1247,32.7007,7,4207
321658,317863,0.00395,Corpus Christi,159.703,27.7543,-97.1734,corpus-christi-tx,TX,-97.1734,27.7543,8,2014
293189,285494,0.00883,Plano,71.682,33.0508,-96.7479,plano-tx,TX,-96.7479,33.0508,9,4090
268801,256684,0.01526,Irving,67.06,32.8577,-96.97,irving-tx,TX,-96.97,32.8577,10,4008
265412,257141,0.0105,Lubbock,134.723,33.5668,-101.888,lubbock-tx,TX,-101.888,33.5668,11,1970
260938,255205,0.00738,Laredo,105.743,27.5604,-99.4892,laredo-tx,TX,-99.4892,27.5604,12,2468
251760,246018,0.00766,Garland,57.06,32.9098,-96.6303,garland-tx,TX,-96.6303,32.9098,13,4412
225565,200509,0.03845,Frisco,68.125,33.1554,-96.8226,frisco-tx,TX,-96.8226,33.1554,14,3311
214565,195308,0.03084,McKinney,66.94,33.2011,-96.6642,mckinney-tx,TX,-96.6642,33.2011,15,3205
203303,200393,0.00479,Amarillo,101.744,35.1989,-101.832,amarillo-tx,TX,-101.832,35.1989,16,1998
202310,196100,0.01034,Grand Prairie,72.255,32.6861,-97.0208,grand-prairie-tx,TX,-97.0208,32.6861,17,2800
190254,186738,0.0062,Brownsville,132.322,25.9957,-97.4509,brownsville-tx,TX,-97.4509,25.9957,18,1438
160646,153095,0.01592,Killeen,54.545,31.0753,-97.7316,killeen-tx,TX,-97.7316,31.0753,19,2945
153192,150108,0.00676,Mesquite,47.252,32.7629,-96.5888,mesquite-tx,TX,-96.5888,32.7629,20,3242
152823,151950,0.00191,Pasadena,43.586,29.659,-95.1504,pasadena-tx,TX,-95.1504,29.659,21,3506
